effect_type,source_type,filename,descriptor,target_text,scale,orig_target_sim,manip_target_sim,delta_target_sim
eq,guitar,guitar_EQ_bright_0.2.wav,bright,a bright sound,0.2,-0.056919992,-0.08221619,-0.025296196
eq,guitar,guitar_EQ_bright_0.4.wav,bright,a bright sound,0.4,-0.056919992,-0.079159185,-0.022239193
eq,guitar,guitar_EQ_bright_0.6.wav,bright,a bright sound,0.6,-0.056919992,-0.07096402,-0.0140440315
eq,guitar,guitar_EQ_bright_0.8.wav,bright,a bright sound,0.8,-0.056919992,-0.06874217,-0.011822179
eq,guitar,guitar_EQ_bright_1.0.wav,bright,a bright sound,1.0,-0.056919992,-0.05990844,-0.0029884465
eq,guitar,guitar_EQ_calm_0.2.wav,calm,a calm sound,0.2,-0.055863395,-0.102908015,-0.04704462
eq,guitar,guitar_EQ_calm_0.4.wav,calm,a calm sound,0.4,-0.055863395,-0.09175788,-0.035894483
eq,guitar,guitar_EQ_calm_0.6.wav,calm,a calm sound,0.6,-0.055863395,-0.09758711,-0.041723713
eq,guitar,guitar_EQ_calm_0.8.wav,calm,a calm sound,0.8,-0.055863395,-0.09926342,-0.043400027
eq,guitar,guitar_EQ_calm_1.0.wav,calm,a calm sound,1.0,-0.055863395,-0.08698739,-0.031123996
eq,guitar,guitar_EQ_clear_0.2.wav,clear,a clear sound,0.2,-0.042867575,-0.08406432,-0.041196745
eq,guitar,guitar_EQ_clear_0.4.wav,clear,a clear sound,0.4,-0.042867575,-0.07480433,-0.031936754
eq,guitar,guitar_EQ_clear_0.6.wav,clear,a clear sound,0.6,-0.042867575,-0.06389136,-0.021023784
eq,guitar,guitar_EQ_clear_0.8.wav,clear,a clear sound,0.8,-0.042867575,-0.06287055,-0.020002972
eq,guitar,guitar_EQ_clear_1.0.wav,clear,a clear sound,1.0,-0.042867575,-0.058413595,-0.01554602
eq,guitar,guitar_EQ_cold_0.2.wav,cold,a cold sound,0.2,-0.108697146,-0.14211226,-0.03341511
eq,guitar,guitar_EQ_cold_0.4.wav,cold,a cold sound,0.4,-0.108697146,-0.1265462,-0.017849058
eq,guitar,guitar_EQ_cold_0.6.wav,cold,a cold sound,0.6,-0.108697146,-0.11994104,-0.011243895
eq,guitar,guitar_EQ_cold_0.8.wav,cold,a cold sound,0.8,-0.108697146,-0.10684182,0.0018553287
eq,guitar,guitar_EQ_cold_1.0.wav,cold,a cold sound,1.0,-0.108697146,-0.0932439,0.015453249
eq,guitar,guitar_EQ_cool_0.2.wav,cool,a cool sound,0.2,-0.088511825,-0.13174097,-0.043229148
eq,guitar,guitar_EQ_cool_0.4.wav,cool,a cool sound,0.4,-0.088511825,-0.13600746,-0.047495633
eq,guitar,guitar_EQ_cool_0.6.wav,cool,a cool sound,0.6,-0.088511825,-0.14581574,-0.05730392
eq,guitar,guitar_EQ_cool_0.8.wav,cool,a cool sound,0.8,-0.088511825,-0.15228648,-0.06377466
eq,guitar,guitar_EQ_cool_1.0.wav,cool,a cool sound,1.0,-0.088511825,-0.16180818,-0.07329635
eq,guitar,guitar_EQ_crisp_0.2.wav,crisp,a crisp sound,0.2,-0.08677197,-0.107752055,-0.020980082
eq,guitar,guitar_EQ_crisp_0.4.wav,crisp,a crisp sound,0.4,-0.08677197,-0.101881966,-0.0151099935
eq,guitar,guitar_EQ_crisp_0.6.wav,crisp,a crisp sound,0.6,-0.08677197,-0.10028294,-0.013510965
eq,guitar,guitar_EQ_crisp_0.8.wav,crisp,a crisp sound,0.8,-0.08677197,-0.09164807,-0.0048760995
eq,guitar,guitar_EQ_crisp_1.0.wav,crisp,a crisp sound,1.0,-0.08677197,-0.09002702,-0.003255047
eq,guitar,guitar_EQ_dark_0.2.wav,dark,a dark sound,0.2,-0.11786248,-0.14799614,-0.030133665
eq,guitar,guitar_EQ_dark_0.4.wav,dark,a dark sound,0.4,-0.11786248,-0.15044253,-0.032580048
eq,guitar,guitar_EQ_dark_0.6.wav,dark,a dark sound,0.6,-0.11786248,-0.14273661,-0.024874136
eq,guitar,guitar_EQ_dark_0.8.wav,dark,a dark sound,0.8,-0.11786248,-0.14001845,-0.02215597
eq,guitar,guitar_EQ_dark_1.0.wav,dark,a dark sound,1.0,-0.11786248,-0.13579914,-0.017936662
eq,guitar,guitar_EQ_gentle_0.2.wav,gentle,a gentle sound,0.2,-0.047811463,-0.08565129,-0.03783983
eq,guitar,guitar_EQ_gentle_0.4.wav,gentle,a gentle sound,0.4,-0.047811463,-0.08595505,-0.03814359
eq,guitar,guitar_EQ_gentle_0.6.wav,gentle,a gentle sound,0.6,-0.047811463,-0.08306137,-0.035249904
eq,guitar,guitar_EQ_gentle_0.8.wav,gentle,a gentle sound,0.8,-0.047811463,-0.07886602,-0.031054556
eq,guitar,guitar_EQ_gentle_1.0.wav,gentle,a gentle sound,1.0,-0.047811463,-0.07513413,-0.027322665
eq,guitar,guitar_EQ_hard_0.2.wav,hard,a hard sound,0.2,-0.057978377,-0.10354237,-0.045563996
eq,guitar,guitar_EQ_hard_0.4.wav,hard,a hard sound,0.4,-0.057978377,-0.1035635,-0.045585126
eq,guitar,guitar_EQ_hard_0.6.wav,hard,a hard sound,0.6,-0.057978377,-0.1046599,-0.046681523
eq,guitar,guitar_EQ_hard_0.8.wav,hard,a hard sound,0.8,-0.057978377,-0.09592909,-0.037950717
eq,guitar,guitar_EQ_hard_1.0.wav,hard,a hard sound,1.0,-0.057978377,-0.11694125,-0.058962874
eq,guitar,guitar_EQ_harsh_0.2.wav,harsh,a harsh sound,0.2,-0.11160274,-0.14593932,-0.03433658
eq,guitar,guitar_EQ_harsh_0.4.wav,harsh,a harsh sound,0.4,-0.11160274,-0.14269726,-0.031094521
eq,guitar,guitar_EQ_harsh_0.6.wav,harsh,a harsh sound,0.6,-0.11160274,-0.1351231,-0.023520365
eq,guitar,guitar_EQ_harsh_0.8.wav,harsh,a harsh sound,0.8,-0.11160274,-0.13887206,-0.027269319
eq,guitar,guitar_EQ_harsh_1.0.wav,harsh,a harsh sound,1.0,-0.11160274,-0.138076,-0.026473269
eq,guitar,guitar_EQ_heavy_0.2.wav,heavy,a heavy sound,0.2,-0.09368302,-0.14328736,-0.04960434
eq,guitar,guitar_EQ_heavy_0.4.wav,heavy,a heavy sound,0.4,-0.09368302,-0.14697552,-0.053292498
eq,guitar,guitar_EQ_heavy_0.6.wav,heavy,a heavy sound,0.6,-0.09368302,-0.15431401,-0.060630992
eq,guitar,guitar_EQ_heavy_0.8.wav,heavy,a heavy sound,0.8,-0.09368302,-0.14702412,-0.053341106
eq,guitar,guitar_EQ_heavy_1.0.wav,heavy,a heavy sound,1.0,-0.09368302,-0.1575172,-0.063834175
eq,guitar,guitar_EQ_loud_0.2.wav,loud,a loud sound,0.2,-0.18044913,-0.18667307,-0.006223947
eq,guitar,guitar_EQ_loud_0.4.wav,loud,a loud sound,0.4,-0.18044913,-0.189035,-0.00858587
eq,guitar,guitar_EQ_loud_0.6.wav,loud,a loud sound,0.6,-0.18044913,-0.18833616,-0.007887036
eq,guitar,guitar_EQ_loud_0.8.wav,loud,a loud sound,0.8,-0.18044913,-0.20736563,-0.026916504
eq,guitar,guitar_EQ_loud_1.0.wav,loud,a loud sound,1.0,-0.18044913,-0.2120227,-0.03157358
eq,guitar,guitar_EQ_mellow_0.2.wav,mellow,a mellow sound,0.2,-0.006491008,-0.04754392,-0.04105291
eq,guitar,guitar_EQ_mellow_0.4.wav,mellow,a mellow sound,0.4,-0.006491008,-0.04865714,-0.042166132
eq,guitar,guitar_EQ_mellow_0.6.wav,mellow,a mellow sound,0.6,-0.006491008,-0.04582333,-0.03933232
eq,guitar,guitar_EQ_mellow_0.8.wav,mellow,a mellow sound,0.8,-0.006491008,-0.048727885,-0.042236876
eq,guitar,guitar_EQ_mellow_1.0.wav,mellow,a mellow sound,1.0,-0.006491008,-0.04396796,-0.03747695
eq,guitar,guitar_EQ_peaceful_0.2.wav,peaceful,a peaceful sound,0.2,-0.08774834,-0.1302307,-0.042482354
eq,guitar,guitar_EQ_peaceful_0.4.wav,peaceful,a peaceful sound,0.4,-0.08774834,-0.13429154,-0.046543203
eq,guitar,guitar_EQ_peaceful_0.6.wav,peaceful,a peaceful sound,0.6,-0.08774834,-0.1335667,-0.045818366
eq,guitar,guitar_EQ_peaceful_0.8.wav,peaceful,a peaceful sound,0.8,-0.08774834,-0.13478518,-0.047036834
eq,guitar,guitar_EQ_peaceful_1.0.wav,peaceful,a peaceful sound,1.0,-0.08774834,-0.1319656,-0.044217266
eq,guitar,guitar_EQ_sharp_0.2.wav,sharp,a sharp sound,0.2,-0.06756262,-0.09676089,-0.029198274
eq,guitar,guitar_EQ_sharp_0.4.wav,sharp,a sharp sound,0.4,-0.06756262,-0.095145985,-0.027583368
eq,guitar,guitar_EQ_sharp_0.6.wav,sharp,a sharp sound,0.6,-0.06756262,-0.09067924,-0.023116626
eq,guitar,guitar_EQ_sharp_0.8.wav,sharp,a sharp sound,0.8,-0.06756262,-0.08425055,-0.01668793
eq,guitar,guitar_EQ_sharp_1.0.wav,sharp,a sharp sound,1.0,-0.06756262,-0.085962534,-0.018399917
eq,guitar,guitar_EQ_smooth_0.2.wav,smooth,a smooth sound,0.2,-0.029837787,-0.06684184,-0.037004054
eq,guitar,guitar_EQ_smooth_0.4.wav,smooth,a smooth sound,0.4,-0.029837787,-0.078926854,-0.049089067
eq,guitar,guitar_EQ_smooth_0.6.wav,smooth,a smooth sound,0.6,-0.029837787,-0.07868313,-0.048845343
eq,guitar,guitar_EQ_smooth_0.8.wav,smooth,a smooth sound,0.8,-0.029837787,-0.0805983,-0.050760515
eq,guitar,guitar_EQ_smooth_1.0.wav,smooth,a smooth sound,1.0,-0.029837787,-0.068047576,-0.03820979
eq,guitar,guitar_EQ_soft_0.2.wav,soft,a soft sound,0.2,-0.05258948,-0.086692125,-0.034102645
eq,guitar,guitar_EQ_soft_0.4.wav,soft,a soft sound,0.4,-0.05258948,-0.09229791,-0.03970843
eq,guitar,guitar_EQ_soft_0.6.wav,soft,a soft sound,0.6,-0.05258948,-0.09215918,-0.039569702
eq,guitar,guitar_EQ_soft_0.8.wav,soft,a soft sound,0.8,-0.05258948,-0.094019644,-0.041430164
eq,guitar,guitar_EQ_soft_1.0.wav,soft,a soft sound,1.0,-0.05258948,-0.094399706,-0.041810226
eq,guitar,guitar_EQ_soothing_0.2.wav,soothing,a soothing sound,0.2,-0.041842755,-0.079028085,-0.03718533
eq,guitar,guitar_EQ_soothing_0.4.wav,soothing,a soothing sound,0.4,-0.041842755,-0.08014658,-0.038303826
eq,guitar,guitar_EQ_soothing_0.6.wav,soothing,a soothing sound,0.6,-0.041842755,-0.0857095,-0.043866742
eq,guitar,guitar_EQ_soothing_0.8.wav,soothing,a soothing sound,0.8,-0.041842755,-0.07833032,-0.03648757
eq,guitar,guitar_EQ_soothing_1.0.wav,soothing,a soothing sound,1.0,-0.041842755,-0.07337345,-0.031530697
eq,guitar,guitar_EQ_tinny_0.2.wav,tinny,a tinny sound,0.2,-0.10348332,-0.11969064,-0.016207322
eq,guitar,guitar_EQ_tinny_0.4.wav,tinny,a tinny sound,0.4,-0.10348332,-0.110774755,-0.007291436
eq,guitar,guitar_EQ_tinny_0.6.wav,tinny,a tinny sound,0.6,-0.10348332,-0.11085418,-0.0073708594
eq,guitar,guitar_EQ_tinny_0.8.wav,tinny,a tinny sound,0.8,-0.10348332,-0.09508847,0.008394852
eq,guitar,guitar_EQ_tinny_1.0.wav,tinny,a tinny sound,1.0,-0.10348332,-0.0811123,0.022371016
eq,guitar,guitar_EQ_warm_0.2.wav,warm,a warm sound,0.2,-0.04477483,-0.0766087,-0.031833872
eq,guitar,guitar_EQ_warm_0.4.wav,warm,a warm sound,0.4,-0.04477483,-0.081442855,-0.036668025
eq,guitar,guitar_EQ_warm_0.6.wav,warm,a warm sound,0.6,-0.04477483,-0.07892178,-0.03414695
eq,guitar,guitar_EQ_warm_0.8.wav,warm,a warm sound,0.8,-0.04477483,-0.079510555,-0.034735724
eq,guitar,guitar_EQ_warm_1.0.wav,warm,a warm sound,1.0,-0.04477483,-0.07969527,-0.03492044
eq,piano,piano_EQ_bright_0.2.wav,bright,a bright sound,0.2,0.028904915,0.03737445,0.008469537
eq,piano,piano_EQ_bright_0.4.wav,bright,a bright sound,0.4,0.028904915,0.038828306,0.009923391
eq,piano,piano_EQ_bright_0.6.wav,bright,a bright sound,0.6,0.028904915,0.040481284,0.011576369
eq,piano,piano_EQ_bright_0.8.wav,bright,a bright sound,0.8,0.028904915,0.0401686,0.011263683
eq,piano,piano_EQ_bright_1.0.wav,bright,a bright sound,1.0,0.028904915,0.039092597,0.010187682
eq,piano,piano_EQ_calm_0.2.wav,calm,a calm sound,0.2,0.0667446,0.07559033,0.008845724
eq,piano,piano_EQ_calm_0.4.wav,calm,a calm sound,0.4,0.0667446,0.08265404,0.015909433
eq,piano,piano_EQ_calm_0.6.wav,calm,a calm sound,0.6,0.0667446,0.08978516,0.023040555
eq,piano,piano_EQ_calm_0.8.wav,calm,a calm sound,0.8,0.0667446,0.09339396,0.026649356
eq,piano,piano_EQ_calm_1.0.wav,calm,a calm sound,1.0,0.0667446,0.09972653,0.032981925
eq,piano,piano_EQ_clear_0.2.wav,clear,a clear sound,0.2,0.035370257,0.043232173,0.007861916
eq,piano,piano_EQ_clear_0.4.wav,clear,a clear sound,0.4,0.035370257,0.046997063,0.011626806
eq,piano,piano_EQ_clear_0.6.wav,clear,a clear sound,0.6,0.035370257,0.049571533,0.014201276
eq,piano,piano_EQ_clear_0.8.wav,clear,a clear sound,0.8,0.035370257,0.051910207,0.01653995
eq,piano,piano_EQ_clear_1.0.wav,clear,a clear sound,1.0,0.035370257,0.051649958,0.016279701
eq,piano,piano_EQ_cold_0.2.wav,cold,a cold sound,0.2,-0.0039158836,0.016077984,0.019993868
eq,piano,piano_EQ_cold_0.4.wav,cold,a cold sound,0.4,-0.0039158836,0.021741297,0.02565718
eq,piano,piano_EQ_cold_0.6.wav,cold,a cold sound,0.6,-0.0039158836,0.028192788,0.032108672
eq,piano,piano_EQ_cold_0.8.wav,cold,a cold sound,0.8,-0.0039158836,0.03184867,0.035764553
eq,piano,piano_EQ_cold_1.0.wav,cold,a cold sound,1.0,-0.0039158836,0.035848,0.039763883
eq,piano,piano_EQ_cool_0.2.wav,cool,a cool sound,0.2,0.015509728,0.018048279,0.0025385506
eq,piano,piano_EQ_cool_0.4.wav,cool,a cool sound,0.4,0.015509728,0.012259251,-0.003250477
eq,piano,piano_EQ_cool_0.6.wav,cool,a cool sound,0.6,0.015509728,0.00275392,-0.012755808
eq,piano,piano_EQ_cool_0.8.wav,cool,a cool sound,0.8,0.015509728,-0.029468013,-0.04497774
eq,piano,piano_EQ_cool_1.0.wav,cool,a cool sound,1.0,0.015509728,-0.033790916,-0.049300645
eq,piano,piano_EQ_crisp_0.2.wav,crisp,a crisp sound,0.2,0.05076112,0.05723619,0.0064750724
